,request_id,request_date,request,desc,address,zip_code,hauler,route,district,lon,lat
6330,117898,2018-11-20,Trash - Curbside/Alley Missed Pickup,cart still out,2112 aileen dr,37013,RED RIVER,4502,28,-86.65555662502945,36.081411710703335
6332,118052,2018-11-20,Trash - Curbside/Alley Missed Pickup,missed.,2025 williams valley dr,37115,RED RIVER,3414,8,-86.71883518799221,36.26903973317195
6334,118091,2018-11-20,Trash - Curbside/Alley Missed Pickup,3 houses trash curbside has not been pickup in 2 weeks. hopefully this wednesday carts will be emptied.,4405 granny white pike,37204,RED RIVER,3302,25,-86.80112571917957,36.09992113168544
6336,118136,2018-11-20,Trash - Curbside/Alley Missed Pickup,missed.,3307 masonwood dr,37207,RED RIVER,2202,3,-86.77234115983109,36.242413553159466
6339,118154,2018-11-20,Trash - Curbside/Alley Missed Pickup,missed.,1804 s hamilton rd,37218,RED RIVER,4204,2,-86.8340446666744,36.1904291714581
6340,118159,2018-11-20,Trash - Curbside/Alley Missed Pickup,missed....,1916 s hamilton rd,37218,RED RIVER,4204,2,-86.83229506711865,36.19215102084551
6341,118160,2018-11-20,Trash - Curbside/Alley Missed Pickup,"look, i am not sure what we've done to piss off our trash pickup employees, but between missed pickups and stolen trash carts, i feel like this is getting really ridiculous. there is bagged trash in our trash cart. i can't possibly imagine what we've done this time to warrant being skipped. and with as much loose trash is strewn through our alley on pickup days, i also can't imagine why our other neighbors' trash is picked up but not ours. can you reassign someone else to this route? or stop being trash nazis?",1122 n 7th st,37207,METRO,9203,5,-86.75981552019344,36.19172787241519
6342,118171,2018-11-20,Trash - Curbside/Alley Missed Pickup,no pickup for the whole street all trash carts for each house still out on curb since this past friday,5313 ballard ct,37013,RED RIVER,4504,28,-86.65296065983502,36.06033915297207
6347,118187,2018-11-21,Trash - Curbside/Alley Missed Pickup,cart still out everyone missed on this street. curb tuesday,904 bordeaux pl,37207,RED RIVER,3205,2,-86.8121711420743,36.21118844179766
6348,118228,2018-11-21,Trash - Curbside/Alley Missed Pickup,miss,809 n 5th st,37207,METRO,9202,5,-86.7631810958147,36.184788470423314
6349,118239,2018-11-21,Trash - Curbside/Alley Missed Pickup,curb trash/miss tuesday.,1515 mcgavock pike,37216,RED RIVER,1205,7,-86.71616139030756,36.2086593358786
6352,118256,2018-11-21,Trash - Curbside/Alley Missed Pickup,"today is trash/pickup dead end, seen truck passing them again. wednesday. wants this empty today. had to wait a while for them to come back and emptied last time. curb",413 e palestine ave,37115,RED RIVER,3312,7,-86.70805805643897,36.24837171484705
6355,118271,2018-11-21,Trash - Curbside/Alley Missed Pickup,missed,214 19th ave n,37203,METRO,9208,21,-86.79931736988573,36.15514334337971
6358,118284,2018-11-21,Trash - Backdoor,miss,2705 deerfield dr,37208,METRO,9201,21,-86.8215050446659,36.18350930626036
6367,118377,2018-11-21,Trash - Curbside/Alley Missed Pickup,curb trash missed wednesday. pass 4 weeks now. {seen trash/truck passing by with out getting cart.,623 larkin springs rd,37115,RED RIVER,3314,9,-86.6862138225628,36.250433831172174
6370,118391,2018-11-21,Trash - Curbside/Alley Missed Pickup,trash/curb being missed often wednesday. wants cart emptied asap. 2 carts,4308 lone oak rd,37215,RED RIVER,3305,25,-86.80933848960933,36.0982553741727
6373,118398,2018-11-21,Trash - Curbside/Alley Missed Pickup,missed...,2813 delaware ave a,37209,METRO,9303,21,-86.81996650672644,36.15544837108363
6374,118399,2018-11-21,Trash - Curbside/Alley Missed Pickup,why was my trash not picked up? everyone else in the neighborhood had theirs picked up?,1214 norvel ave,37216,RED RIVER,2205,7,-86.7262628311406,36.21665797107492
6375,118401,2018-11-21,Trash - Backdoor,backdoor..missed for the past two weeks.,438 grayson dr,37205,RED RIVER,1304,23,-86.90610763049864,36.10435110376446
6377,118404,2018-11-21,Trash - Curbside/Alley Missed Pickup,missed. entire cul de sac was missed; units 1-9,8 sharonwood dr,37215,RED RIVER,2305S,25,-86.81089190466975,36.123042319480575
6381,118410,2018-11-21,Trash - Curbside/Alley Missed Pickup,"pizza boxes, brown grocery bags & barbie box sitting on top of trash bags.  all have been removed & only remaining trash bags in the can as of now.",1304 hildreth dr,37215,RED RIVER,3303,34,-86.81169162810079,36.0820820139068
6388,118473,2018-11-23,Trash - Backdoor,"please call mary stockard at 615-477-7079. she requested that a supervisor call her about a missed trash pick up. very insistent that a supervisor call her.
has been missed 2 weeks now. 14th and 21st of nov.",438 grayson dr,37205,RED RIVER,1304,23,-86.90610763049864,36.10435110376446
6395,118506,2018-11-24,Trash - Curbside/Alley Missed Pickup,trash not picked up.,5205 wessex dr,37211,RED RIVER,3403,27,-86.70801729573702,36.05546856085746
6397,118508,2018-11-24,Trash - Curbside/Alley Missed Pickup,caller richard huff 615-495-0625.,5205 wessex dr,37211,RED RIVER,3403,27,-86.70801729573702,36.05546856085746
6399,118522,2018-11-24,Trash - Curbside/Alley Missed Pickup,missed pick up for whole community - ticket was started and we were told trash would be picked up on friday (yesterday)  but it still has not been picked up and the trash cans are getting overfilled. trash needs to be picked up before wed.,320 old hickory blvd,37221,RED RIVER,1303,23,-86.91796605866404,36.0892840101453
6401,118527,2018-11-24,Trash - Curbside/Alley Missed Pickup,entire neighborhood of cherry glen was missed.,908 cherry plum ct,37215,RED RIVER,3301,25,-86.81663878433439,36.092089504291
6406,118612,2018-11-25,Trash - Curbside/Alley Missed Pickup,"trash cans were not picked up on scheduled trash day of last wednesday. thought the holiday may have thrown things off but not collected on saturday, either. they are full and need to be picked up before the upcoming wednesday trash day.",1212 harding pl,37215,RED RIVER,3303,25,-86.80523882586299,36.08966031035904
6409,118632,2018-11-26,Trash - Curbside/Alley Missed Pickup,"trash/missed saturday pickup, only one side was pickup. thursday's missed
wants a supervisor to contact him back due to being missed.",804 e campbell rd,37115,RED RIVER,3412,8,-86.7308400593705,36.28046314247994
6410,118637,2018-11-26,Trash - Curbside/Alley Missed Pickup,missed pick up,4409 granny white pike,37204,RED RIVER,3302,25,-86.80128158739672,36.09899706472754
6414,118673,2018-11-26,Trash - Backdoor,backdoor trash missed again wednesday.,827 kirkwood ave,37204,RED RIVER,4301,17,-86.78143307260895,36.12028968667968
6418,118690,2018-11-26,Trash - Curbside/Alley Missed Pickup,"we have missed three weeks of trash pickup in a row and have already submitted a request that was marked as complete. the trash was not picked up, so the request was not completed.",331 seneca dr,37214,RED RIVER,1505,15,-86.66774467386843,36.15729561439225
6419,118691,2018-11-26,Trash - Curbside/Alley Missed Pickup,in october we were annexed to metro and they have not picked up on schedule yet.  the neighbors and i all put cans out on thursday night and we have to all and have them picked up the following week.  please have the driver update his route pickup information and send someone to collect the trash too. {friday missed again},111 barton ln,37214,RED RIVER,1501,15,-86.69416519149627,36.23171689703605
6421,118694,2018-11-26,Trash - Curbside/Alley Missed Pickup,missed again! two story blue home on corner of emery drive and seneca drive.,331 seneca dr,37214,RED RIVER,1505,15,-86.66774467386843,36.15729561439225
6422,118698,2018-11-26,Trash - Curbside/Alley Missed Pickup,miss,3001 hamilton church rd,37013,RED RIVER,4502,32,-86.6332131454047,36.05911496342845
6423,118699,2018-11-26,Trash - Backdoor,missed back door pick up,135 carnavon pkwy,37205,RED RIVER,1303,23,-86.896530603165,36.09082132317816
6424,118709,2018-11-26,Trash - Curbside/Alley Missed Pickup,missed,317 melvin jones dr,37217,RED RIVER,2504,28,-86.66621537197905,36.09782643350852
6427,118754,2018-11-26,Trash - Backdoor,"backdoor/trash missed, disabled {last 2 weeks, tuesday}",2705 deerfield dr,37208,METRO,9201,21,-86.8215050446659,36.18350930626036
6428,118774,2018-11-26,Trash - Backdoor,missed for consecutive weeks,320 neelys bend rd,37115,RED RIVER,3312,7,-86.70793332684109,36.25551582126121
6429,118782,2018-11-26,Trash - Curbside/Alley Missed Pickup,missed trash - caller said it has not been picked up in 2 weeks,205 n 9th st,37206,METRO,9504,5,-86.75743546303528,36.17870201738929
6434,118915,2018-11-26,Trash - Curbside/Alley Missed Pickup,"trash/never does cart gets pickup on wednesday. curbside wednesday. poor service that he is not getting. moved in his home in june and only once he got service. caller states it's not heavy, also due to not being pickup at all maybe that's why it's getting heavy.  wednesday. only household trash/nothing else.",960 44th ave n,37209,RED RIVER,1309,20,-86.84019357014587,36.160482931430806
6438,118958,2018-11-26,Trash - Backdoor,"backdoor/trash/has not been pickup in 2 weeks, corner of 607 whispering hills dr & 501 bonerwood dr. 37211. {should of been a saturday pickup}. for thursdays",607 whispering hills dr,37211,RED RIVER,2405,27,-86.73012723820702,36.06916727526741
6442,119009,2018-11-26,Trash - Curbside/Alley Missed Pickup,haven't had any trash pickup in 2 weeks. this is happening pretty often lately.,12610 old hickory blvd,37013,RED RIVER,4510,33,-86.60793044057726,36.03558077270201
6445,119082,2018-11-26,Trash - Curbside/Alley Missed Pickup,"trash was not collected on trash day of last week (wed). not collected after the holiday either. put in a request yesterday but not picked up today. please pickup tom as the trash can is full and needs to be emptied before trash day of this week, for new trash.",1212 harding pl,37215,RED RIVER,3303,25,-86.80523882586299,36.08966031035904
6446,119136,2018-11-27,Trash - Curbside/Alley Missed Pickup,"dead end street, the whole block of candlecreek way and also others as well. also the main streets around them did not get emptied either. curb friday no pickup.",717 candlecreek way,37013,RED RIVER,4510,32,-86.61472299407592,36.03281683385384
6447,119163,2018-11-27,Trash - Curbside/Alley Missed Pickup,"missed- trash two weeks missed, thursday's. curbside",4844 shasta dr,37211,RED RIVER,1404,26,-86.71693900410057,36.08531682321463
6455,119477,2018-11-28,Trash - Curbside/Alley Missed Pickup,cust says missed,215 walton ln,37115,RED RIVER,2204,8,-86.72998053462207,36.23910310033622
6456,119481,2018-11-28,Trash - Backdoor,505 jocelyn hollow court has spoken to red river way too much.  he has to live with maggots and bugs and he has not received pick up  red river has been telling him they are sending some one out and no one ever picks up his trash. {wants to file a complaint on red/river for not doing there job. missed 2 weeks in a row. backdoor/trash,505 jocelyn hollow ct,37205,RED RIVER,1304,23,-86.90913319820551,36.10129141850211
6457,119534,2018-11-28,Trash - Curbside/Alley Missed Pickup,cust is disabled; the cart is out front close to the street,2201 hermosa st,37208,METRO,9303,21,-86.81046476744403,36.16318305762639
6459,119635,2018-11-28,Trash - Backdoor,"backdoor/trash keeps being missed, cart still out. tuesday. {has to keep calling in order to get emptied.",329 walton ln,37115,RED RIVER,2204,8,-86.73618224431262,36.23882975001934
6462,119667,2018-11-28,Trash - Curbside/Alley Missed Pickup,cust says at least the entire side of one street is missed,4308 lone oak rd,37215,RED RIVER,3305,25,-86.80933848960933,36.0982553741727
6465,119736,2018-11-28,Trash - Backdoor,missed.,116 margaret st,37115,RED RIVER,3314,9,-86.70238781032208,36.25603924860546
6466,119747,2018-11-28,Trash - Curbside/Alley Missed Pickup,missed....,1537 harding pl,37215,RED RIVER,3303,34,-86.81841939845783,36.09047134732016
6467,119748,2018-11-28,Trash - Backdoor,missed pick up - backdoor.,110 dodge dr,37210,RED RIVER,4303,16,-86.72782988131719,36.12028797757117
6469,119751,2018-11-28,Trash - Backdoor,missed trash pick up backdoor caller states that the trash has not been picked up in 3 weeks,2814 white oak dr b,37215,RED RIVER,2305,25,-86.81147385907217,36.119908556984974
6473,119783,2018-11-29,Trash - Curbside/Alley Missed Pickup,"missed pickup, curbside {keeps getting missed wednesday} was paid backdoor/now curb. due to truck getting on grass had backdoor/cancelled. now trash/not getting emptied.",5026 hill place dr,37205,RED RIVER,1304,23,-86.86457022893563,36.11966748998295
6474,119812,2018-11-29,Trash - Backdoor,missed 2 weeks in a row,206 rolling fork ct,37205,RED RIVER,1304,23,-86.9062500235903,36.09286366453976
6478,119870,2018-11-29,Trash - Backdoor,missed backdoor- states she has to call at least once a month.,1818 28th ave n,37208,METRO,9201,21,-86.82291388745475,36.18296101355752
6485,120031,2018-11-29,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,5003 hasty dr,37211,RED RIVER,3401,27,-86.71970048614465,36.06075957025013
6487,120037,2018-11-29,Trash - Curbside/Alley Missed Pickup,miss,444 rochelle dr,37220,RED RIVER,2401,26,-86.75327579656403,36.06434326303168
6505,120316,2018-11-30,Trash - Curbside/Alley Missed Pickup,cust is disabled; the cart is out front close to the street,2201 hermosa st,37208,METRO,9303,21,-86.81046476744403,36.16318305762639
6506,120341,2018-11-30,Trash - Curbside/Alley Missed Pickup,missed the whole area,3401 anderson rd,37013,RED RIVER,4506,33,-86.60334099739316,36.08363690135678
6513,120362,2018-11-30,Trash - Curbside/Alley Missed Pickup,missed- alley pick up...at the end of alley....,1613 electric ave,37206,METRO,9508,6,-86.74179822608036,36.16751628257674
6514,120364,2018-11-30,Trash - Curbside/Alley Missed Pickup,trash/curbside keeps getting missed & getting tired of calling,2774 smith springs rd,37217,RED RIVER,2505,29,-86.61464247454016,36.08932856918359
6515,120365,2018-11-30,Trash - Curbside/Alley Missed Pickup,missed 3 other houses up the hill 304 and 305.,309 higgins st,37211,RED RIVER,2405,30,-86.72277931233818,36.07206096322395
6516,120410,2018-12-01,Trash - Curbside/Alley Missed Pickup,"pickup has always been in back of the building (parking lot), missed pickup last 2 weeks. pickup day is friday.",1220 gallatin ave,37206,WASTE IND,2509,5,-86.74504569720047,36.1921193036674
6520,120546,2018-12-03,Trash - Curbside/Alley Missed Pickup,trash/cart still out curb. friday {keeps getting missed} {truck speeds through there.,2790 smith springs rd,37217,RED RIVER,2505,29,-86.61320400993347,36.08923699909792
6521,120547,2018-12-03,Trash - Curbside/Alley Missed Pickup,this is becoming a regular thing........all carts still out on street where they are always at nothing blocking them.  the normal pickup day is friday but whole street was missed this past week,5313 ballard ct,37013,RED RIVER,4504,28,-86.65296065983502,36.06033915297207
6522,120553,2018-12-03,Trash - Curbside/Alley Missed Pickup,trash was not collected friday for my street and other streets,109 chetopa ct,37013,RED RIVER,4501,28,-86.66904870033974,36.078206360578335
6523,120574,2018-12-03,Trash - Curbside/Alley Missed Pickup,this area missed only got one side,109 chetopa ct,37013,RED RIVER,4501,28,-86.66904870033974,36.078206360578335
6524,120596,2018-12-03,Trash - Curbside/Alley Missed Pickup,not gotten on thursday and wants to know why,196 chilton st,37211,METRO,9408,16,-86.73700637869504,36.10037971738187
6528,120737,2018-12-03,Trash - Curbside/Alley Missed Pickup,missed- trash- others on the street missed.,2930 anderson rd,37217,RED RIVER,4503,29,-86.62713702824274,36.07436569485721
6533,121027,2018-12-04,Trash - Backdoor,has backdoor p/u and trash hasn't been p/u since the 1st wednesday in november. said she has made 3 previous complaints via the hub. problem has been happening for the past year.,632 harding pl,37211,RED RIVER,4302,26,-86.74454389825354,36.07860128117337
6534,121035,2018-12-04,Trash - Curbside/Alley Missed Pickup,states that since july they have been missing their collection- there are trash bags everywhere in the neighborhood. he needs a collection. entire alley is being missed since july (615)568-5864- michael gordon would like a call,910 w greenwood ave,37206,WASTE IND,2509,5,-86.752637508393,36.19086746567891
6535,121044,2018-12-04,Trash - Curbside/Alley Missed Pickup,missed- trash- others on the street missed.,2930 anderson rd,37217,RED RIVER,4503,29,-86.62713702824274,36.07436569485721
6536,121049,2018-12-04,Trash - Curbside/Alley Missed Pickup,missed.,196 chilton st,37211,METRO,9408,16,-86.73700637869504,36.10037971738187
6539,121095,2018-12-04,Trash - Curbside/Alley Missed Pickup,missed,3233 kings ln,37218,RED RIVER,3203,1,-86.82955471965374,36.21917891879253
6548,121225,2018-12-05,Trash - Curbside/Alley Missed Pickup,caller upset curb trash missed 2 weeks in a row. wednesday. wants cart emptied. {does not want to call back},706 26th ave n,37208,METRO,9303,21,-86.81473241393427,36.15893452727676
6552,121268,2018-12-05,Trash - Curbside/Alley Missed Pickup,missed....,503 spruce st,37203,METRO,9208,21,-86.80445849036278,36.15758815324001
6557,121393,2018-12-05,Trash - Curbside/Alley Missed Pickup,missed...others on street missed,1527 lock rd,37207,RED RIVER,3202,2,-86.78695868957239,36.19963200178727
6558,121395,2018-12-05,Trash - Curbside/Alley Missed Pickup,service has been consistently missed lately.,601 woodland st,37206,METRO,9501,6,-86.76277008569977,36.17285067347562
6560,121406,2018-12-05,Trash - Backdoor,missed again.,116 margaret st,37115,RED RIVER,3314,9,-86.70238781032208,36.25603924860546
6570,121448,2018-12-05,Trash - Backdoor,cart not emptied,2022 fransworth dr,37205,RED RIVER,1304,23,-86.8636839149747,36.12211551341134
6571,121461,2018-12-06,Trash - Backdoor,"backdoor/trash missed, unit-b
2 carts wednesday.",2526 sunset pl,37212,RED RIVER,2305,18,-86.80947478029353,36.129355209495216
6575,121501,2018-12-06,Trash - Backdoor,paid service,206 rolling fork ct,37205,RED RIVER,1304,23,-86.9062500235903,36.09286366453976
6578,121525,2018-12-06,Trash - Curbside/Alley Missed Pickup,2 brown cart sitting out for collection.,906 free silver rd,37207,RED RIVER,3202,2,-86.79740489749247,36.20657681812735
6579,121532,2018-12-06,Trash - Backdoor,missed- backdoor trash,6585 jocelyn hollow rd,37205,RED RIVER,1304,23,-86.90663201417748,36.10129938215173
6586,121652,2018-12-06,Trash - Curbside/Alley Missed Pickup,cust says missed,140 brook hollow rd,37205,RED RIVER,1304,23,-86.88426717447325,36.10054887476149
6588,121693,2018-12-06,Trash - Curbside/Alley Missed Pickup,missed trash pickup.,3322 park ave,37209,WASTE IND,3306,24,-86.82547765418961,36.15188609455083
6590,121759,2018-12-06,Trash - Curbside/Alley Missed Pickup,missed again,4907 madeline dr,37211,RED RIVER,3403,30,-86.71116641188544,36.06440127156112
6595,121808,2018-12-06,Trash - Curbside/Alley Missed Pickup,caller richard huff 615-495-0625. missed and he wants to know what is going on 3 weeks in a row that he has had an issue.,5205 wessex dr,37211,RED RIVER,3403,27,-86.70801729573702,36.05546856085746
6598,121827,2018-12-06,Trash - Curbside/Alley Missed Pickup,this is the second week in a row that my tres wasn't picked up.  it appears that a few houses on my side of the road we're skipped,203 townes dr,37211,RED RIVER,4404,30,-86.69572002874996,36.05083520779897
6599,121829,2018-12-07,Trash - Curbside/Alley Missed Pickup,my trash is picked up on thursday.  this is the second time my trash has not been picked up in the last 3 weeks.  i was not picked up yesterday (previous other time was the saturday after the thanksgiving holiday).,5136 edmondson pike,37211,RED RIVER,3401,27,-86.73900783803214,36.06372612149184
6605,121871,2018-12-07,Trash - Curbside/Alley Missed Pickup,hers and neighbors missed,358 barrywood dr,37211,RED RIVER,2401,26,-86.74961908983582,36.06723407121928
6606,121872,2018-12-07,Trash - Curbside/Alley Missed Pickup,missed trash,358 barrywood dr,37211,RED RIVER,2401,26,-86.74961908983582,36.06723407121928
6609,121892,2018-12-07,Trash - Curbside/Alley Missed Pickup,missed...this is a new home and the only home on the street. this street comes off boxwood dr.,1853 sprucewood ln,37211,RED RIVER,4402,nan,-86.88831000000002,33.583139999999936
6611,121913,2018-12-07,Trash - Curbside/Alley Missed Pickup,missed...others in area missed...,1584 bell rd,37211,RED RIVER,4404,31,-86.69772969148188,36.0440433293125
6616,121958,2018-12-07,Trash - Curbside/Alley Missed Pickup,missed. caller says it's missed repeatedly.,1511 9th ave n,37208,WASTE IND,3208,19,-86.7972849103501,36.17720901421625
6617,122020,2018-12-07,Trash - Curbside/Alley Missed Pickup,"trash has been missed 3 weeks in a row, every time she's having to call in just to get cart emptied. very upset and wants this corrected, wants higher up to do something or else she'll speak the director. curb wednesday.",185 antioch pike,37211,RED RIVER,4304,16,-86.73190542683467,36.10075851312584
6620,122089,2018-12-07,Trash - Curbside/Alley Missed Pickup,missed carts,110 george l davis blvd,37203,METRO,9407,19,-86.78907025776275,36.15668981081328
6622,122108,2018-12-07,Trash - Curbside/Alley Missed Pickup,missed again,2205 lebanon pike,37214,RED RIVER,1504,15,-86.69675419533792,36.165209199091024
6628,122151,2018-12-07,Trash - Curbside/Alley Missed Pickup,missed...missed for the past month.,12546 old hickory blvd,37013,RED RIVER,4510,33,-86.60453708787944,36.0362571548934
6630,122159,2018-12-07,Trash - Curbside/Alley Missed Pickup,trash did not get picked up,3109 cedarcliff cir,37013,RED RIVER,4503,29,-86.62183156646407,36.07165014063142
6637,122269,2018-12-10,Trash - Curbside/Alley Missed Pickup,"trash/sit's by mail box, curb unit-124
wants cart empty before friday's next pickup.",2120 lebanon pike,37210,RED RIVER,1504S,15,-86.7014288678911,36.16368311287257
6640,122297,2018-12-10,Trash - Curbside/Alley Missed Pickup,miss,231 old hickory blvd,37115,RED RIVER,3414,8,-86.71435366588109,36.263064782838605
6641,122318,2018-12-10,Trash - Curbside/Alley Missed Pickup,"driver doesn't come into the dead
end and never gets trash/carts, this needs to be corrected. cal da sac. {3 weeks in a row that he has to keep calling, 2 full carts both need to be emptied no matter what. {the whole community} being missed. file a complaint.",1752 bridgecrest dr,37013,RED RIVER,4504,32,-86.65590646160379,36.07039342606489
6645,122378,2018-12-10,Trash - Curbside/Alley Missed Pickup,cust says missed,2819 lebanon pike,37214,RED RIVER,1503,15,-86.66176906028295,36.16690969179063
6647,122391,2018-12-10,Trash - Curbside/Alley Missed Pickup,missed,358 barrywood dr,37211,RED RIVER,2401,26,-86.74961908983582,36.06723407121928
6648,122429,2018-12-10,Trash - Curbside/Alley Missed Pickup,only emptied 1 or the 2 carts.,196 chilton st,37211,METRO,9408,16,-86.73700637869504,36.10037971738187
6653,122492,2018-12-10,Trash - Curbside/Alley Missed Pickup,missed- trash again last friday caller is at a dead end,5135 hickory hollow pkwy,37013,RED RIVER,4504,32,-86.66568349645347,36.04992967629358
6656,122523,2018-12-10,Trash - Curbside/Alley Missed Pickup,missed again,1613 electric ave,37206,METRO,9508,6,-86.74179822608036,36.16751628257674
6659,122647,2018-12-11,Trash - Backdoor,pay backdoor/trash missed last wednesday. called in but i did not see a ticket in hub. customer wants a refund for being missed last week.,6604 ellwood ct,37205,RED RIVER,1303,23,-86.90017364869969,36.09426438975349
6662,122802,2018-12-11,Trash - Curbside/Alley Missed Pickup,missed...others on same street and area missed....,906 free silver rd,37207,RED RIVER,3202,2,-86.79740489749247,36.20657681812735
6673,123041,2018-12-12,Trash - Curbside/Alley Missed Pickup,cust says missed,5026 hill place dr,37205,RED RIVER,1304,23,-86.86457022893563,36.11966748998295
6677,123092,2018-12-12,Trash - Curbside/Alley Missed Pickup,missed,5105 buena vista pike,37218,RED RIVER,3201,1,-86.82695868195546,36.23440635125213
6682,123127,2018-12-12,Trash - Curbside/Alley Missed Pickup,missed trash- again several houses missed,3910 caylor,37215,RED RIVER,3304,34,-86.82471521575732,36.10570249873128
6683,123129,2018-12-12,Trash - Curbside/Alley Missed Pickup,cart was not collected- neighbor told her they seen the truck pick up the cart and it fell over so they proceeded to not empty it.,310 timmons st,37211,RED RIVER,4304,16,-86.74262587661342,36.107936928590405
6684,123132,2018-12-12,Trash - Backdoor,missed paid backdoor pickup for 2 weeks straight.,140 brook hollow rd,37205,RED RIVER,1304,23,-86.88426717447325,36.10054887476149
6685,123136,2018-12-12,Trash - Backdoor,not collected fir 2 weeks,2042 fransworth dr,37205,RED RIVER,1304,23,-86.86600981981816,36.12103949001807
6692,123204,2018-12-13,Trash - Backdoor,missed- backdoor pickup. caller said the driver got her card but never took the trash,3300 hobbs rd,37215,RED RIVER,3305,34,-86.8295258262327,36.1020899310756
6697,123243,2018-12-13,Trash - Curbside/Alley Missed Pickup,missed- trash- others on the street missed,2812 27th ave s,37212,RED RIVER,2305,18,-86.81087713397285,36.12448792989244
6698,123300,2018-12-13,Trash - Curbside/Alley Missed Pickup,missed...the entire street was missed...,202 la vista dr,37215,RED RIVER,3301,34,-86.82946721182425,36.09387043314015
6699,123310,2018-12-13,Trash - Curbside/Alley Missed Pickup,missed entire street.,153 mccall st,37211,RED RIVER,4304,16,-86.72992885702062,36.09845231438362
6700,123311,2018-12-13,Trash - Curbside/Alley Missed Pickup,cust says cart was skipped and everyone else's was picked up,927 ilawood dr,37211,RED RIVER,4403,31,-86.7068509032629,36.03946852750352
6703,123343,2018-12-13,Trash - Curbside/Alley Missed Pickup,carts are running over- construction going on but it is accessible.,167 rosa l parks blvd,37203,METRO,unknown,19,-86.78356809486786,36.16071442246929
6705,123350,2018-12-13,Trash - Curbside/Alley Missed Pickup,trash p/u was missed; doesn't want codes to be on her becasue her trash keeps being missed.,115 rose st,37210,WASTE IND,4407,16,-86.74180781582008,36.12294629994888
6707,123353,2018-12-13,Trash - Curbside/Alley Missed Pickup,entire street was missed,155 mccall st,37211,RED RIVER,4304,16,-86.73025674249293,36.09847669863943
6709,123363,2018-12-13,Trash - Curbside/Alley Missed Pickup,missed...entire street missed...,247 collier ave,37211,RED RIVER,4304,16,-86.7378507313453,36.10905848534605
6714,123403,2018-12-13,Trash - Curbside/Alley Missed Pickup,missed ..again,1011 elm hill pike,37210,WASTE IND,4507,19,-86.73643378015505,36.14376016927078
6717,123428,2018-12-13,Trash - Backdoor,first week backdoor- missed.,359 willard dr,37211,RED RIVER,3405,30,-86.70339157701927,36.078980267217766
6724,123458,2018-12-13,Trash - Curbside/Alley Missed Pickup,my trash plus the entire street was missed. i set my trash out the night before.,193 mccall st,37211,RED RIVER,4304,16,-86.73615187497899,36.09906270239296
6727,123469,2018-12-14,Trash - Curbside/Alley Missed Pickup,missed pick up {curb} neighbors moved her cart and blocking it. she'd talked to them.,612 sue ct,37013,RED RIVER,4404,31,-86.69576208217782,36.04865011829786
6730,123515,2018-12-14,Trash - Backdoor,cart stays out been missed for again. 2 weeks wednesday.,6633 jocelyn hollow rd,37205,RED RIVER,1304,23,-86.91167481828995,36.09622405956056
6731,123517,2018-12-14,Trash - Curbside/Alley Missed Pickup,"trash/miss curbside,  out night before. thursday.",532 e maple st,37115,RED RIVER,3414,9,-86.70142657112844,36.26117125007009
6732,123522,2018-12-14,Trash - Curbside/Alley Missed Pickup,"trash/cart missed 2 weeks in row, {cart sit's on douglas side} curb. called in monday did not see a ticket. wants cart emptied today. thursday.",231 w old hickory blvd,37115,RED RIVER,3414,8,-86.71435366588109,36.263064782838605
6734,123532,2018-12-14,Trash - Curbside/Alley Missed Pickup,cart still out,5395 cane ridge rd,37013,RED RIVER,4405,32,-86.65883954015841,36.03809326593666
6735,123539,2018-12-14,Trash - Curbside/Alley Missed Pickup,this is a commercial pickup. small roll out cart. ours and two doors down were not picked up on thursday. carts were out wednesday night.,2932 foster creighton dr,37204,METRO,9404,16,-86.75357785623203,36.10789481451925
6739,123554,2018-12-14,Trash - Curbside/Alley Missed Pickup,regular pick up day is wednesday. entire street was missed from 147 to 193 mccall st. they only picked up on one side of the street.,193 mccall st,37211,RED RIVER,4304,16,-86.73615187497899,36.09906270239296
6741,123562,2018-12-14,Trash - Curbside/Alley Missed Pickup,missed-this is downtown district. caller says they haven't been picked up in 2 weeks.,117 union st,37201,METRO,unknown,19,-86.7775088272589,36.16590101015869
6753,123657,2018-12-14,Trash - Curbside/Alley Missed Pickup,the area was missed,305 chateau glen pl,37215,RED RIVER,3305,25,-86.80660458484321,36.10693654419518
6754,123666,2018-12-14,Trash - Curbside/Alley Missed Pickup,this is the third time this year pick up has been missed. this is a corner house and not sure it that is the difference but can is placed the exact same place as always at end of driveway. the trash pick up was the same day as my monthly recycling pick up and the recycling was picked up but trash was not. my regular day is wednesday and was placed there tuesday night as always. can is still there and all neighbors was picked up.,2801 w linden ave,37212,RED RIVER,2305,18,-86.81245072256195,36.12824396613701
6757,123675,2018-12-14,Trash - Curbside/Alley Missed Pickup,"only one side of the mccall st, it's a mess. curb/wednesday trash/missed. wednesday.",165 mccall st,37211,RED RIVER,4304,16,-86.73183457966,36.09867152199308
6759,123681,2018-12-14,Trash - Curbside/Alley Missed Pickup,cust says the cul de sac was missed,109 chetopa ct,37013,RED RIVER,4501,28,-86.66904870033974,36.078206360578335
6760,123682,2018-12-14,Trash - Backdoor,backdoor miss..cart is between the driveway and side of house.,359 willard dr,37211,RED RIVER,3405,30,-86.70339157701927,36.078980267217766
